"","Trait","AccessionName","AccessionNumber","variable","value"
"75","WCn","LA0317","Y02","rep1",-0.551829346
"76","GPI","LA0317","Y02","rep1",1.309129362
"77","GPF","LA0317","Y02","rep1",0.551117668
"78","dGP","LA0317","Y02","rep1",0.462786
"79","L4FM","LA0317","Y02","rep1",0.329389446
"80","L4DM","LA0317","Y02","rep1",0.376052948
"81","L4A","LA0317","Y02","rep1",0.350816228
"82","RNa","LA0317","Y02","rep1",30.29829752
"83","RK","LA0317","Y02","rep1",0.892897316
"84","LNa","LA0317","Y02","rep1",21.50237042
"85","LK","LA0317","Y02","rep1",0.454279532
"86","LeafSucculence","LA0317","Y02","rep1",0.926888143
"87","LeafPerimeter","LA0317","Y02","rep1",0.292698909
"88","LeafVertLength","LA0317","Y02","rep1",0.471070142
"89","LeafHorizWidth","LA0317","Y02","rep1",0.487186252
"90","LeafElongationFactor","LA0317","Y02","rep1",1.034264547
"91","DG","LA0421","Y03","rep1",4
"92","DL4","LA0421","Y03","rep1",11
"93","DH","LA0421","Y03","rep1",11
"94","LN","LA0421","Y03","rep1",0.5
"95","RL","LA0421","Y03","rep1",0.263565891
"96","SL","LA0421","Y03","rep1",0.553191489
"97","ST","LA0421","Y03","rep1",0.593103448
"98","RFM","LA0421","Y03","rep1",0.208278333
"99","SFM","LA0421","Y03","rep1",0.33638839
"100","TFM","LA0421","Y03","rep1",0.308890493
"101","RDM","LA0421","Y03","rep1",0.338485317
"102","SDM","LA0421","Y03","rep1",0.307596202
"103","TDM","LA0421","Y03","rep1",0.280466526
"104","WC","LA0421","Y03","rep1",0.311143955
"105","WCn","LA0421","Y03","rep1",1.062048911
"106","GPI","LA0421","Y03","rep1",1.02190808
"107","GPF","LA0421","Y03","rep1",0.268832498
"108","dGP","LA0421","Y03","rep1",0.215595922
"109","L4FM","LA0421","Y03","rep1",0.182476785
"110","L4DM","LA0421","Y03","rep1",0.166666667
"111","L4A","LA0421","Y03","rep1",NA
"112","RNa","LA0421","Y03","rep1",26.5367517
"113","RK","LA0421","Y03","rep1",0.634803249
"114","LNa","LA0421","Y03","rep1",27.51069005
"115","LK","LA0421","Y03","rep1",0.51876955
"116","LeafSucculence","LA0421","Y03","rep1",1.041801782
"117","LeafPerimeter","LA0421","Y03","rep1",0.310556969
"118","LeafVertLength","LA0421","Y03","rep1",0.516003027
"119","LeafHorizWidth","LA0421","Y03","rep1",0.479414155
"120","LeafElongationFactor","LA0421","Y03","rep1",0.928993163
"121","DG","LA0422","Y04","rep1",4
"122","DL4","LA0422","Y04","rep1",11
"123","DH","LA0422","Y04","rep1",11
"124","LN","LA0422","Y04","rep1",0.666666667
"125","RL","LA0422","Y04","rep1",0.888888889
"126","SL","LA0422","Y04","rep1",0.583333333
"127","ST","LA0422","Y04","rep1",0.703703704
"128","RFM","LA0422","Y04","rep1",0.300505902
"129","SFM","LA0422","Y04","rep1",NA
"130","TFM","LA0422","Y04","rep1",NA
"131","RDM","LA0422","Y04","rep1",0.692532943
"132","SDM","LA0422","Y04","rep1",0.466653355
"133","TDM","LA0422","Y04","rep1",NA
"134","WC","LA0422","Y04","rep1",NA
"135","WCn","LA0422","Y04","rep1",1.199842281
"136","GPI","LA0422","Y04","rep1",1.080307438
"137","GPF","LA0422","Y04","rep1",0.396585541
"138","dGP","LA0422","Y04","rep1",0.343971297
"139","L4FM","LA0422","Y04","rep1",NA
"140","L4DM","LA0422","Y04","rep1",NA
"141","L4A","LA0422","Y04","rep1",NA
"142","RNa","LA0422","Y04","rep1",23.74668804
"143","RK","LA0422","Y04","rep1",NA
"144","LNa","LA0422","Y04","rep1",14.27812127
"145","LK","LA0422","Y04","rep1",0.421731994
"146","LeafSucculence","LA0422","Y04","rep1",NA
"147","LeafPerimeter","LA0422","Y04","rep1",NA
"148","LeafVertLength","LA0422","Y04","rep1",NA
"149","LeafHorizWidth","LA0422","Y04","rep1",0.609511189
"150","LeafElongationFactor","LA0422","Y04","rep1",1.015918739
"151","DG","LA0426","Y05","rep1",6
"152","DL4","LA0426","Y05","rep1",12
"153","DH","LA0426","Y05","rep1",11
"154","LN","LA0426","Y05","rep1",0.666666667
"155","RL","LA0426","Y05","rep1",0.635416667
"156","SL","LA0426","Y05","rep1",0.55
"157","ST","LA0426","Y05","rep1",0.472222222
"158","RFM","LA0426","Y05","rep1",0.190449945
"159","SFM","LA0426","Y05","rep1",0.330984406
"160","TFM","LA0426","Y05","rep1",0.299792035
"161","RDM","LA0426","Y05","rep1",0.329614604
"162","SDM","LA0426","Y05","rep1",0.40138191
"163","TDM","LA0426","Y05","rep1",0.371072797
"164","WC","LA0426","Y05","rep1",0.295399001
"165","WCn","LA0426","Y05","rep1",0.259463456
"166","GPI","LA0426","Y05","rep1",1.023526878
"167","GPF","LA0426","Y05","rep1",0.458438977
"168","dGP","LA0426","Y05","rep1",0.364448539
"169","L4FM","LA0426","Y05","rep1",0.296840496
"170","L4DM","LA0426","Y05","rep1",0.318095238
"171","L4A","LA0426","Y05","rep1",0.374977506
"172","RNa","LA0426","Y05","rep1",20.62011265
"173","RK","LA0426","Y05","rep1",3.033117576
"174","LNa","LA0426","Y05","rep1",15.28546597
"175","LK","LA0426","Y05","rep1",0.400418795
"176","LeafSucculence","LA0426","Y05","rep1",0.786072267
"177","LeafPerimeter","LA0426","Y05","rep1",0.389965597
"178","LeafVertLength","LA0426","Y05","rep1",0.51732561
"179","LeafHorizWidth","LA0426","Y05","rep1",0.495456975
"180","LeafElongationFactor","LA0426","Y05","rep1",0.957792801
"181","DG","LA0428","Y06","rep1",4
"182","DL4","LA0428","Y06","rep1",11
"183","DH","LA0428","Y06","rep1",11
"184","LN","LA0428","Y06","rep1",0.5
"185","RL","LA0428","Y06","rep1",1.192307692
"186","SL","LA0428","Y06","rep1",NA
"187","ST","LA0428","Y06","rep1",0.340611354
"188","RFM","LA0428","Y06","rep1",0.240196273
"189","SFM","LA0428","Y06","rep1",0.269416065
"190","TFM","LA0428","Y06","rep1",0.264825132
"191","RDM","LA0428","Y06","rep1",0.466232227
"192","SDM","LA0428","Y06","rep1",0.321764911
"193","TDM","LA0428","Y06","rep1",0.329681453
"194","WC","LA0428","Y06","rep1",0.261237195
"195","WCn","LA0428","Y06","rep1",0.454954136
"196","GPI","LA0428","Y06","rep1",1.182921611
"197","GPF","LA0428","Y06","rep1",0.207793918
"198","dGP","LA0428","Y06","rep1",0.150988218
"199","L4FM","LA0428","Y06","rep1",0.326820293
"200","L4DM","LA0428","Y06","rep1",0.291288816
"201","L4A","LA0428","Y06","rep1",0.234190976
"202","RNa","LA0428","Y06","rep1",13.44990584
"203","RK","LA0428","Y06","rep1",1.462508441
"204","LNa","LA0428","Y06","rep1",11.96456348
"205","LK","LA0428","Y06","rep1",0.236258488
"206","LeafSucculence","LA0428","Y06","rep1",1.408670369
"207","LeafPerimeter","LA0428","Y06","rep1",0.309442981
"208","LeafVertLength","LA0428","Y06","rep1",0.437761891
"209","LeafHorizWidth","LA0428","Y06","rep1",0.486842614
"210","LeafElongationFactor","LA0428","Y06","rep1",1.112168487
"211","DG","LA0429","Y07","rep1",5
"212","DL4","LA0429","Y07","rep1",11
"213","DH","LA0429","Y07","rep1",11
"214","LN","LA0429","Y07","rep1",0.5
"215","RL","LA0429","Y07","rep1",0.759036145
"216","SL","LA0429","Y07","rep1",0.512195122
"217","ST","LA0429","Y07","rep1",-0.21399177
"218","RFM","LA0429","Y07","rep1",0.327401817
"219","SFM","LA0429","Y07","rep1",0.214502753
"220","TFM","LA0429","Y07","rep1",0.229106799
"221","RDM","LA0429","Y07","rep1",0.366435386
"222","SDM","LA0429","Y07","rep1",0.236671001
"223","TDM","LA0429","Y07","rep1",0.243377969
"224","WC","LA0429","Y07","rep1",0.228210457
"225","WCn","LA0429","Y07","rep1",0.650824366
"226","GPI","LA0429","Y07","rep1",1.152823306
"227","GPF","LA0429","Y07","rep1",0.294319809
"228","dGP","LA0429","Y07","rep1",0.238635713
"229","L4FM","LA0429","Y07","rep1",0.143981222
"230","L4DM","LA0429","Y07","rep1",0.190973202
"231","L4A","LA0429","Y07","rep1",0.189160586
"232","RNa","LA0429","Y07","rep1",NA
"233","RK","LA0429","Y07","rep1",0.434059904
"234","LNa","LA0429","Y07","rep1",13.29271203
"235","LK","LA0429","Y07","rep1",0.91123684
"236","LeafSucculence","LA0429","Y07","rep1",0.73521565
"237","LeafPerimeter","LA0429","Y07","rep1",0.356946217
"238","LeafVertLength","LA0429","Y07","rep1",0.438845006
"239","LeafHorizWidth","LA0429","Y07","rep1",0.413620954
"240","LeafElongationFactor","LA0429","Y07","rep1",0.942462988
"241","DG","LA0434","Y08","rep1",6
"242","DL4","LA0434","Y08","rep1",11
"243","DH","LA0434","Y08","rep1",11
"244","LN","LA0434","Y08","rep1",0.666666667
"245","RL","LA0434","Y08","rep1",0.357142857
"246","SL","LA0434","Y08","rep1",0.44
"247","ST","LA0434","Y08","rep1",0.244444444
"248","RFM","LA0434","Y08","rep1",0.216972759
"249","SFM","LA0434","Y08","rep1",0.325699808
"250","TFM","LA0434","Y08","rep1",0.309103225
"251","RDM","LA0434","Y08","rep1",0.348484848
"252","SDM","LA0434","Y08","rep1",0.376380221
"253","TDM","LA0434","Y08","rep1",0.345257106
"254","WC","LA0434","Y08","rep1",0.306579109
"255","WCn","LA0434","Y08","rep1",0.46772932
"256","GPI","LA0434","Y08","rep1",1.199772586
"257","GPF","LA0434","Y08","rep1",0.578109627
"258","dGP","LA0434","Y08","rep1",0.468562152
"259","L4FM","LA0434","Y08","rep1",0.207877293
"260","L4DM","LA0434","Y08","rep1",0.248905109
"261","L4A","LA0434","Y08","rep1",0.252355186
"262","RNa","LA0434","Y08","rep1",13.71710728
"263","RK","LA0434","Y08","rep1",1.33367638
"264","LNa","LA0434","Y08","rep1",22.65636673
"265","LK","LA0434","Y08","rep1",0.64501569
"266","LeafSucculence","LA0434","Y08","rep1",0.804554247
"267","LeafPerimeter","LA0434","Y08","rep1",0.393092735
"268","LeafVertLength","LA0434","Y08","rep1",0.428884716
"269","LeafHorizWidth","LA0434","Y08","rep1",0.482324474
"270","LeafElongationFactor","LA0434","Y08","rep1",1.124676073
"271","DG","LA0436","Y09","rep1",4
"272","DL4","LA0436","Y09","rep1",12
"273","DH","LA0436","Y09","rep1",11
"274","LN","LA0436","Y09","rep1",0.25
"275","RL","LA0436","Y09","rep1",0.475308642
"276","SL","LA0436","Y09","rep1",0.256410256
"277","ST","LA0436","Y09","rep1",0.038961039
"278","RFM","LA0436","Y09","rep1",0.420663195
"279","SFM","LA0436","Y09","rep1",0.210434301
"280","TFM","LA0436","Y09","rep1",0.228628576
"281","RDM","LA0436","Y09","rep1",0.820574163
"282","SDM","LA0436","Y09","rep1",0.414079687
"283","TDM","LA0436","Y09","rep1",0.437313695
"284","WC","LA0436","Y09","rep1",0.218775355
"285","WCn","LA0436","Y09","rep1",-0.605875316
"286","GPI","LA0436","Y09","rep1",NA
"287","GPF","LA0436","Y09","rep1",0.149271602
"288","dGP","LA0436","Y09","rep1",NA
"289","L4FM","LA0436","Y09","rep1",0.23768289
"290","L4DM","LA0436","Y09","rep1",0.382747069
"291","L4A","LA0436","Y09","rep1",0.230740698
"292","RNa","LA0436","Y09","rep1",21.49630135
"293","RK","LA0436","Y09","rep1",2.761828947
"294","LNa","LA0436","Y09","rep1",23.92007911
"295","LK","LA0436","Y09","rep1",0.610667237
"296","LeafSucculence","LA0436","Y09","rep1",0.981816032
"297","LeafPerimeter","LA0436","Y09","rep1",0.244357572
"298","LeafVertLength","LA0436","Y09","rep1",0.390488981
"299","LeafHorizWidth","LA0436","Y09","rep1",0.471625735
"300","LeafElongationFactor","LA0436","Y09","rep1",1.207821038
"301","DG","LA0437","Y10","rep1",5
"302","DL4","LA0437","Y10","rep1",13
"303","DH","LA0437","Y10","rep1",11
"304","LN","LA0437","Y10","rep1",0.5
"305","RL","LA0437","Y10","rep1",0.605633803
"306","SL","LA0437","Y10","rep1",0.418604651
"307","ST","LA0437","Y10","rep1",0.627586207
"308","RFM","LA0437","Y10","rep1",0.154939192
"309","SFM","LA0437","Y10","rep1",0.267796464
"310","TFM","LA0437","Y10","rep1",0.245634505
"311","RDM","LA0437","Y10","rep1",0.244008715
"312","SDM","LA0437","Y10","rep1",0.329561712
"313","TDM","LA0437","Y10","rep1",0.311400875
"314","WC","LA0437","Y10","rep1",0.241594291
"315","WCn","LA0437","Y10","rep1",-0.521046463
"316","GPI","LA0437","Y10","rep1",0.995322819
"317","GPF","LA0437","Y10","rep1",0.409363477
"318","dGP","LA0437","Y10","rep1",0.349435763
"319","L4FM","LA0437","Y10","rep1",0.235339006
"320","L4DM","LA0437","Y10","rep1",0.303939962
"321","L4A","LA0437","Y10","rep1",0.306256425
"322","RNa","LA0437","Y10","rep1",14.58456453
"323","RK","LA0437","Y10","rep1",0.596154379
"324","LNa","LA0437","Y10","rep1",28.1433144
"325","LK","LA0437","Y10","rep1",0.539629901
"326","LeafSucculence","LA0437","Y10","rep1",0.748602885
"327","LeafPerimeter","LA0437","Y10","rep1",0.421312898
"328","LeafVertLength","LA0437","Y10","rep1",0.453835057
"329","LeafHorizWidth","LA0437","Y10","rep1",0.540740633
"330","LeafElongationFactor","LA0437","Y10","rep1",1.191522763
"331","DG","LA0438","Y11","rep1",5
"332","DL4","LA0438","Y11","rep1",14
"333","DH","LA0438","Y11","rep1",11
"334","LN","LA0438","Y11","rep1",0.333333333
"335","RL","LA0438","Y11","rep1",0.789915966
"336","SL","LA0438","Y11","rep1",0.189189189
"337","ST","LA0438","Y11","rep1",0.201117318
"338","RFM","LA0438","Y11","rep1",0.188119567
"339","SFM","LA0438","Y11","rep1",0.128956634
"340","TFM","LA0438","Y11","rep1",0.135024793
"341","RDM","LA0438","Y11","rep1",0.42278481
"342","SDM","LA0438","Y11","rep1",0.24064026
"343","TDM","LA0438","Y11","rep1",0.230681168
"344","WC","LA0438","Y11","rep1",0.130936167
"345","WCn","LA0438","Y11","rep1",0.020092301
"346","GPI","LA0438","Y11","rep1",1.098913186
"347","GPF","LA0438","Y11","rep1",0.227506722
"348","dGP","LA0438","Y11","rep1",0.130165893
"349","L4FM","LA0438","Y11","rep1",0.05410069
"350","L4DM","LA0438","Y11","rep1",0.13362069
"351","L4A","LA0438","Y11","rep1",0.065124366
"352","RNa","LA0438","Y11","rep1",NA
"353","RK","LA0438","Y11","rep1",NA
"354","LNa","LA0438","Y11","rep1",34.57672586
"355","LK","LA0438","Y11","rep1",1.606379855
"356","LeafSucculence","LA0438","Y11","rep1",0.754347495
"357","LeafPerimeter","LA0438","Y11","rep1",0.116770157
"358","LeafVertLength","LA0438","Y11","rep1",0.196188782
"359","LeafHorizWidth","LA0438","Y11","rep1",0.21036028
"360","LeafElongationFactor","LA0438","Y11","rep1",1.072133758
"361","DG","LA0480A","Y12","rep1",5
"362","DL4","LA0480A","Y12","rep1",12
"363","DH","LA0480A","Y12","rep1",11
"364","LN","LA0480A","Y12","rep1",0.666666667
"365","RL","LA0480A","Y12","rep1",0.141304348
"366","SL","LA0480A","Y12","rep1",0.454545455
"367","ST","LA0480A","Y12","rep1",0.366666667
"368","RFM","LA0480A","Y12","rep1",0.212799858
"369","SFM","LA0480A","Y12","rep1",0.343321272
"370","TFM","LA0480A","Y12","rep1",0.319907584
"371","RDM","LA0480A","Y12","rep1",0.362478778
"372","SDM","LA0480A","Y12","rep1",0.379876797
"373","TDM","LA0480A","Y12","rep1",0.348720654
"374","WC","LA0480A","Y12","rep1",0.318062009
"375","WCn","LA0480A","Y12","rep1",NA
"376","GPI","LA0480A","Y12","rep1",1.120308099
"377","GPF","LA0480A","Y12","rep1",0.519716649
"378","dGP","LA0480A","Y12","rep1",0.453142533
"379","L4FM","LA0480A","Y12","rep1",0.39847401
"380","L4DM","LA0480A","Y12","rep1",0.239243807
"381","L4A","LA0480A","Y12","rep1",0.465018491
"382","RNa","LA0480A","Y12","rep1",32.19801588
"383","RK","LA0480A","Y12","rep1",0.760389357
"384","LNa","LA0480A","Y12","rep1",19.66561559
"385","LK","LA0480A","Y12","rep1",0.271230746
"386","LeafSucculence","LA0480A","Y12","rep1",0.915581837
"387","LeafPerimeter","LA0480A","Y12","rep1",0.385106448
"388","LeafVertLength","LA0480A","Y12","rep1",0.485574669
"389","LeafHorizWidth","LA0480A","Y12","rep1",0.612159675
"390","LeafElongationFactor","LA0480A","Y12","rep1",1.260491201
"391","DG","LA0483","Y13","rep1",5
"392","DL4","LA0483","Y13","rep1",NA
"393","DH","LA0483","Y13","rep1",11
"394","LN","LA0483","Y13","rep1",0.666666667
"395","RL","LA0483","Y13","rep1",0.305555556
"396","SL","LA0483","Y13","rep1",0.5625
"397","ST","LA0483","Y13","rep1",0.079069767
"398","RFM","LA0483","Y13","rep1",0.207334224
"399","SFM","LA0483","Y13","rep1",0.190478082
"400","TFM","LA0483","Y13","rep1",0.193584336
"401","RDM","LA0483","Y13","rep1",0.312995246
"402","SDM","LA0483","Y13","rep1",0.250882145
"403","TDM","LA0483","Y13","rep1",0.271130262
"404","WC","LA0483","Y13","rep1",0.188753527
"405","WCn","LA0483","Y13","rep1",NA
"406","GPI","LA0483","Y13","rep1",1.437526669
"407","GPF","LA0483","Y13","rep1",0.325829325
"408","dGP","LA0483","Y13","rep1",0.21065418
"409","L4FM","LA0483","Y13","rep1",0.301610822
"410","L4DM","LA0483","Y13","rep1",0.300330033
"411","L4A","LA0483","Y13","rep1",NA
"412","RNa","LA0483","Y13","rep1",25.10262199
"413","RK","LA0483","Y13","rep1",1.06650383
"414","LNa","LA0483","Y13","rep1",27.80161668
"415","LK","LA0483","Y13","rep1",0.758501915
"416","LeafSucculence","LA0483","Y13","rep1",0.763754691
"417","LeafPerimeter","LA0483","Y13","rep1",NA
"418","LeafVertLength","LA0483","Y13","rep1",0.461820292
"419","LeafHorizWidth","LA0483","Y13","rep1",0.588022192
"420","LeafElongationFactor","LA0483","Y13","rep1",1.273217726
"421","DG","LA0521","Y14","rep1",3
"422","DL4","LA0521","Y14","rep1",10
"423","DH","LA0521","Y14","rep1",11
"424","LN","LA0521","Y14","rep1",0.25
"425","RL","LA0521","Y14","rep1",0.857142857
"426","SL","LA0521","Y14","rep1",0.276315789
"427","ST","LA0521","Y14","rep1",0.133333333
"428","RFM","LA0521","Y14","rep1",0.052458704
"429","SFM","LA0521","Y14","rep1",0.057886805
"430","TFM","LA0521","Y14","rep1",0.057088124
"431","RDM","LA0521","Y14","rep1",0.161198288
"432","SDM","LA0521","Y14","rep1",0.119836122
"433","TDM","LA0521","Y14","rep1",0.13422123
"434","WC","LA0521","Y14","rep1",0.053545395
"435","WCn","LA0521","Y14","rep1",-1.30643259
"436","GPI","LA0521","Y14","rep1",0.873571956
"437","GPF","LA0521","Y14","rep1",0.135093543
"438","dGP","LA0521","Y14","rep1",0.04078499
"439","L4FM","LA0521","Y14","rep1",0.123971611
"440","L4DM","LA0521","Y14","rep1",0.171914894
"441","L4A","LA0521","Y14","rep1",0.144942867
"442","RNa","LA0521","Y14","rep1",22.31684666
"443","RK","LA0521","Y14","rep1",1.838627861
"444","LNa","LA0521","Y14","rep1",14.88359426
"445","LK","LA0521","Y14","rep1",0.887509164
"446","LeafSucculence","LA0521","Y14","rep1",0.825383407
"447","LeafPerimeter","LA0521","Y14","rep1",0.225078375
"448","LeafVertLength","LA0521","Y14","rep1",0.326856695
"449","LeafHorizWidth","LA0521","Y14","rep1",0.320808652
"450","LeafElongationFactor","LA0521","Y14","rep1",0.981507166
"451","DG","LA0522","Y15","rep1",3
"452","DL4","LA0522","Y15","rep1",11
"453","DH","LA0522","Y15","rep1",11
"454","LN","LA0522","Y15","rep1",0.333333333
"455","RL","LA0522","Y15","rep1",0.328767123
"456","SL","LA0522","Y15","rep1",0.447368421
"457","ST","LA0522","Y15","rep1",0.442622951
"458","RFM","LA0522","Y15","rep1",0.131984275
"459","SFM","LA0522","Y15","rep1",0.127672149
"460","TFM","LA0522","Y15","rep1",0.128567415
"461","RDM","LA0522","Y15","rep1",0.291028446
"462","SDM","LA0522","Y15","rep1",0.260306243
"463","TDM","LA0522","Y15","rep1",0.260577705
"464","WC","LA0522","Y15","rep1",0.119273019
"465","WCn","LA0522","Y15","rep1",-1.804518429
"466","GPI","LA0522","Y15","rep1",1.05448128
"467","GPF","LA0522","Y15","rep1",0.146760559
"468","dGP","LA0522","Y15","rep1",-0.016765869
"469","L4FM","LA0522","Y15","rep1",NA
"470","L4DM","LA0522","Y15","rep1",0.248353716
"471","L4A","LA0522","Y15","rep1",0.205515945
"472","RNa","LA0522","Y15","rep1",NA
"473","RK","LA0522","Y15","rep1",3.082381052
"474","LNa","LA0522","Y15","rep1",NA
"475","LK","LA0522","Y15","rep1",NA
"476","LeafSucculence","LA0522","Y15","rep1",NA
"477","LeafPerimeter","LA0522","Y15","rep1",0.244920349
"478","LeafVertLength","LA0522","Y15","rep1",0.40447527
"479","LeafHorizWidth","LA0522","Y15","rep1",0.443470259
"480","LeafElongationFactor","LA0522","Y15","rep1",1.096582985
"481","DG","LA0524","Y16","rep1",3
"482","DL4","LA0524","Y16","rep1",10
"483","DH","LA0524","Y16","rep1",11
"484","LN","LA0524","Y16","rep1",0.5
"485","RL","LA0524","Y16","rep1",0.638888889
"486","SL","LA0524","Y16","rep1",0.12
"487","ST","LA0524","Y16","rep1",0.375
"488","RFM","LA0524","Y16","rep1",0.096111895
"489","SFM","LA0524","Y16","rep1",0.235350734
"490","TFM","LA0524","Y16","rep1",0.207124834
"491","RDM","LA0524","Y16","rep1",0.44047619
"492","SDM","LA0524","Y16","rep1",0.278157683
"493","TDM","LA0524","Y16","rep1",0.306303453
"494","WC","LA0524","Y16","rep1",0.198251431
"495","WCn","LA0524","Y16","rep1",4.113780621
"496","GPI","LA0524","Y16","rep1",1.003949917
"497","GPF","LA0524","Y16","rep1",0.24275404
"498","dGP","LA0524","Y16","rep1",0.140940464
"499","L4FM","LA0524","Y16","rep1",0.284650089
"500","L4DM","LA0524","Y16","rep1",0.396963124
"501","L4A","LA0524","Y16","rep1",0.320759945
"502","RNa","LA0524","Y16","rep1",NA
"503","RK","LA0524","Y16","rep1",1.735990618
"504","LNa","LA0524","Y16","rep1",12.55415664
"505","LK","LA0524","Y16","rep1",1.048739397
"506","LeafSucculence","LA0524","Y16","rep1",0.84992431
"507","LeafPerimeter","LA0524","Y16","rep1",0.453990594
"508","LeafVertLength","LA0524","Y16","rep1",0.535924701
"509","LeafHorizWidth","LA0524","Y16","rep1",0.602945415
"510","LeafElongationFactor","LA0524","Y16","rep1",1.125101808
"511","DG","LA0526","Y17","rep1",4
"512","DL4","LA0526","Y17","rep1",13
"513","DH","LA0526","Y17","rep1",11
"514","LN","LA0526","Y17","rep1",NA
"515","RL","LA0526","Y17","rep1",NA
"516","SL","LA0526","Y17","rep1",NA
"517","ST","LA0526","Y17","rep1",NA
"518","RFM","LA0526","Y17","rep1",NA
"519","SFM","LA0526","Y17","rep1",NA
"520","TFM","LA0526","Y17","rep1",NA
"521","RDM","LA0526","Y17","rep1",NA
"522","SDM","LA0526","Y17","rep1",NA
"523","TDM","LA0526","Y17","rep1",NA
"524","WC","LA0526","Y17","rep1",NA
"525","WCn","LA0526","Y17","rep1",NA
"526","GPI","LA0526","Y17","rep1",1.519009895
"527","GPF","LA0526","Y17","rep1",0.17829654
"528","dGP","LA0526","Y17","rep1",2.869501354
"529","L4FM","LA0526","Y17","rep1",NA
"530","L4DM","LA0526","Y17","rep1",NA
"531","L4A","LA0526","Y17","rep1",NA
"532","RNa","LA0526","Y17","rep1",NA
"533","RK","LA0526","Y17","rep1",NA
"534","LNa","LA0526","Y17","rep1",NA
"535","LK","LA0526","Y17","rep1",NA
"536","LeafSucculence","LA0526","Y17","rep1",NA
"537","LeafPerimeter","LA0526","Y17","rep1",NA
